rating,review_count,isbn,booktype,author,year,genres,dir,rating_count,name
3.93,12622,0060929871,good_reads:book,Aldous Huxley,1932,classics|science-fiction|science-fiction|dystopia|academic|school|novels|fantasy|science-fiction-fantasy|philosophy|young-adult|high-school|european-literature|british-literature,dir01/5129.Brave_New_World.html,12622,Brave New World
4.44,70247,0399155341,good_reads:book,Kathryn Stockett,2009,book-club|historical-fiction|adult-fiction|womens-fiction|chick-lit|drama|american|southern|classics|contemporary|realistic-fiction|novels,dir01/4667024-the-help.html,70247,The Help
3.99,14777,0060531045,good_reads:book,Gabriel Garc a M rquez,1967,fiction|classics|magical-realism|literature|novels|fantasy|historical-fiction|european-literature|spanish-literature|book-club|cultural|latin-american,dir01/320.One_Hundred_Years_of_Solitude.html,14777,One Hundred Years of Solitude
4.07,22713,0142437204,good_reads:book,Charlotte Bront ,1847,fiction|romance|literature|historical-fiction|gothic|academic|school|novels|classics|classic-literature|european-literature|british-literature|literature|19th-century,dir01/10210.Jane_Eyre.html,22713,Jane Eyre
4.23,6228,0099408392,good_reads:book,Maurice Sendak,1963,childrens|childrens|picture-books|classics|fiction|fantasy|adventure|young-adult|kids|childrens|juvenile|animals,dir01/19543.Where_the_Wild_Things_Are.html,6228,Where the Wild Things Are
3.78,9056,0142437174,good_reads:book,Mark Twain,1884,classics|fiction|young-adult|historical-fiction|academic|school|adventure|novels|childrens|academic|read-for-school|literature|american,dir01/2956.The_Adventures_of_Huckleberry_Finn.html,9056,The Adventures of Huckleberry Finn
3.72,31131,0316166685,good_reads:book,Alice Sebold,2002,fiction|mystery|young-adult|contemporary|fantasy|book-club|mystery|crime|adult|adult-fiction|drama,dir01/12232938-the-lovely-bones.html,31131,The Lovely Bones
4.3,33912,1594489505,good_reads:book,Khaled Hosseini,2007,fiction|historical-fiction|book-club|contemporary|novels|adult-fiction|adult|literature|drama|war,dir01/128029.A_Thousand_Splendid_Suns.html,33912,A Thousand Splendid Suns
4.09,8839,0517189607,good_reads:book,Frances Hodgson Burnett,1911,historical-fiction|childrens|young-adult|literature|classics|childrens|juvenile|childrens|middle-grade|european-literature|british-literature|classics|classic-literature|fiction,dir01/2998.The_Secret_Garden.html,8839,The Secret Garden
4.05,50663,1565125606,good_reads:book,Sara Gruen,2006,book-club|contemporary|fiction|literary-fiction|classics|media-tie-in|movies|historical-fiction|cultural|canada|modern|romance|love-story,dir01/43641.Water_for_Elephants.html,50663,Water for Elephants
4.29,5426,0394800168,good_reads:book,Dr Seuss,1960,childrens|childrens|picture-books|classics|poetry|humor|fantasy|kids|young-adult|food-and-drink|food|childrens|juvenile,dir01/23772.Green_Eggs_and_Ham.html,5426,Green Eggs and Ham
3.79,18287,0393978893,good_reads:book,Emily Bront ,1847,classics|romance|literature|gothic|historical-fiction|novels|literature|19th-century|classics|classic-literature|academic|school,dir01/6185.Wuthering_Heights.html,18287,Wuthering Heights
4.34,82098,0062024035,good_reads:book,Veronica Roth,2011,young-adult|science-fiction|dystopia|fiction|fantasy|science-fiction|romance,dir01/13335037-divergent.html,82098,"Divergent (Divergent, #1)"
3.76,9390,0141439602,good_reads:book,Charles Dickens,1859,classics|fiction|historical-fiction|literature|academic|school|novels|classics|classic-literature|european-literature|british-literature|literature|19th-century|cultural|france,dir01/1953.A_Tale_of_Two_Cities.html,9390,A Tale of Two Cities
4.12,37615,1416914285,good_reads:book,Cassandra Clare,2007,fantasy|young-adult|fantasy|paranormal|fantasy|urban-fantasy|romance|paranormal|vampires|fantasy|supernatural|paranormal|angels|shapeshifters|werewolves|fantasy|magic,dir01/256683.City_of_Bones.html,37615,"City of Bones (The Mortal Instruments, #1)"
3.86,36670,0770430074,good_reads:book,Yann Martel,2001,fiction|fantasy|book-club|adventure|classics|contemporary|literature|novels|philosophy|cultural|india,dir01/4214.Life_of_Pi.html,36670,Life of Pi
3.68,5785,0143039954,good_reads:book,Homer,-800,classics|fiction|poetry|fantasy|mythology|academic|school|literature|fantasy|adventure|academic|read-for-school|epic,dir01/1381.The_Odyssey.html,5785,The Odyssey
3.99,13389,0345803922,good_reads:book,Leo Tolstoy,1877,classics|fiction|cultural|russia|literature|romance|historical-fiction|novels|literature|russian-literature|book-club|literature|19th-century,dir01/15823480-anna-karenina.html,13389,Anna Karenina
3.85,11628,,good_reads:book,Vladimir Nabokov,1955,classics|fiction|literature|cultural|russia|novels|romance|book-club|literature|russian-literature,dir01/7604.Lolita.html,11628,Lolita
4.01,12532,0385333846,good_reads:book,Kurt Vonnegut,1969,fiction|classics|science-fiction|literature|war|historical-fiction|novels|fantasy|literature|american|humor,dir01/4981.Slaughterhouse_Five.html,12532,Slaughterhouse-Five
3.79,18284,0192815431,good_reads:book,Emily Bront ,1847,classics|romance|literature|gothic|historical-fiction|novels|literature|19th-century|classics|classic-literature|academic|school,dir01/589092.Wuthering_Heights.html,18284,Wuthering Heights
4.0,13703,014038572X,good_reads:book,S E Hinton,1967,classics|fiction|young-adult|academic|school|academic|read-for-school|realistic-fiction|historical-fiction|young-adult|coming-of-age|childrens|drama,dir01/231804.The_Outsiders.html,13703,The Outsiders
3.96,9761,0684833395,good_reads:book,Joseph Heller,1961,classics|literature|american|humor|book-club|classics|modern-classics,dir01/168668.Catch_22.html,9761,"Catch-22 (Catch-22, #1)"
4.26,22156,0451207149,good_reads:book,Ken Follett,1989,historical-fiction|fiction|book-club|historical-fiction|medieval|classics|fantasy|novels|adult|adult-fiction|epic,dir01/5043.The_Pillars_of_the_Earth.html,22156,"The Pillars of the Earth (The Pillars of the Earth, #1)"
4.12,8326,0340839937,good_reads:book,Frank Herbert,1963,science-fiction|fiction|fantasy|classics|science-fiction-fantasy|science-fiction|space-opera|novels|adventure|speculative-fiction|epic,dir01/234225.Dune.html,8326,"Dune (Dune Chronicles, #1)"
